CFC,Channel,Longitude,Latitude,X_EPSG2691,Y_EPSG2691,Ellipsoid_H_m,Easting_RMS_m,Northing_RMS_m,Elevation_RMS_m,Lateral_RMS_m,Solution,Samples,Plane_Elev_m,Relief_m
1,T1,-110.2717199,38.87474258,563174.579,4303128.409,1354.317,0.005,0.006,0.012,0.007,FIX,194,1312.302612,42.0143877
5,T2,-110.2720712,38.87685686,563142.235,4303362.788,1348.452,0.024,0.013,0.017,0.027,FIX,221,1306.223999,42.228001
8,T1,-110.2700375,38.87666688,563318.813,4303343.114,1349.116,0.008,0.009,0.017,0.013,FIX,222,1306.309326,42.8066738
9,T1,-110.2689902,38.87715373,563409.227,4303397.867,1347.553,0.007,0.016,0.016,0.018,FIX,240,1304.674927,42.8780732
