Point,lat,lon,planeType,Common_ter,Dip,Dip_Azimuth
141,38.87418403,-110.2709798,AS,AccretionSurface,21.84,48.23
142,38.87360052,-110.270646,trough,Paleocurrent,29.25,37.15
143,38.87338603,-110.2708921,trough,Paleocurrent,12.68,18.39
144,38.87337553,-110.2708809,trough,Paleocurrent,24,21.61
145,38.87181017,-110.2710562,AS,AccretionSurface,14.54,311.3
146,38.87151629,-110.271681,AS,AccretionSurface,17.04,326.01
147,38.87142929,-110.2718611,trough,Paleocurrent,38.61,51.03
148,38.8714305,-110.2719011,AS,AccretionSurface,14.93,333.58
149,38.87138737,-110.2717491,AS,AccretionSurface,11,307.83
150,38.87142485,-110.271457,trough,Paleocurrent,13.3,11.38
151,38.876979,-110.2713757,trough,Paleocurrent,12.47,352.2
152,38.8770151,-110.2714045,trough,Paleocurrent,22.8,340.87
153,38.8778521,-110.2723557,trough,Paleocurrent,15.17,295.32
154,38.8778824,-110.2723714,trough,Paleocurrent,16.1,292.37
155,38.8779367,-110.2724512,trough,Paleocurrent,20.95,299.59
156,38.8780346,-110.2726262,trough,Paleocurrent,19.5,325.03
157,38.8781583,-110.2728368,trough,Paleocurrent,20.91,311.99
158,38.8786584,-110.2731657,trough,Paleocurrent,17.55,358.89
159,38.8786743,-110.273162,trough,Paleocurrent,12.21,339.47
160,38.8795787,-110.2733571,AS,AccretionSurface,17.83,290.08
161,38.8802103,-110.2733893,AS,AccretionSurface,15.04,308.82
162,38.8804504,-110.273267,trough,Paleocurrent,24.08,19.21
163,38.8803711,-110.2732944,trough,Paleocurrent,17.35,22.31
164,38.8802868,-110.27322,AS,AccretionSurface,25.37,310.75
165,38.8803426,-110.2732039,AS,AccretionSurface,21.81,309.45
166,38.8774752,-110.2724968,trough,Paleocurrent,18.51,303.28
167,38.8773123,-110.2723916,trough,Paleocurrent,12.51,313.26
168,38.8772072,-110.2723111,trough,Paleocurrent,26.47,330.47
169,38.8772179,-110.2721656,trough,Paleocurrent,27.76,340.31
170,38.8767295,-110.2718618,trough,Paleocurrent,27.48,352.36
171,38.8766765,-110.2718437,trough,Paleocurrent,16.44,341.11
172,38.8765972,-110.2717485,trough,Paleocurrent,27.97,290.48
173,38.8764586,-110.2715389,trough,Paleocurrent,37.82,358.03
174,38.8767966,-110.269831,AS,AccretionSurface,21.17,5.26
175,38.8769321,-110.2694931,AS,AccretionSurface,14.6,312.64
176,38.87696,-110.2694093,AS,AccretionSurface,27.08,329.88
177,38.8769716,-110.2693824,AS,AccretionSurface,29.54,343.55
